id,eng,jp
1,a,1つの
2,about,～について
3,after,～の後で
4,afternoon,午後
5,ago,前
6,Alice,アリス
7,all,すべての
8,always,いつも
9,am,～ある、いる
10,an,一つの、ある
11,ancestor,祖先
12,and,～と
13,animal,動物
14,Ann,アン
15,answer,答える
16,any,どれでも
17,anything,何か
18,April,４月
19,are,～である、いる
20,arm,腕
21,around,～の周りに
22,art,美術，芸術
23,ask,たずねる，頼む
24,at,～で
25,ate,食べた
26,August,８月
27,aunt,おば
28,Australia,オーストラリア
29,autumn,秋
30,back,裏の，後ろの
31,bag,カバン
32,bagpipes,風笛
33,ball,ボール
34,baseball,野球
35,basketball,バスケットボール
36,bat,バット
37,bath,風呂
38,be,～である、いる
39,beautiful,美しい
40,because,なぜなら
41,bed,ベッド
42,before,～の前に
43,behind,…の背後に／背後に
44,bell,ベル
45,belt,ベルト
46,big,大きい
47,bike,自転車
48,bird,鳥
49,black,黒い
50,blog,ブログ
51,blossom,花
52,blue,青い
53,Bob,ボブ
54,body,身体
55,book,本
56,bookstore,書店
57,borrow,借りる
58,both,両方
59,bought,買った
60,boy,少年
61,breakfast,朝食
62,brother,兄弟
63,Brown,茶色の
64,brown,茶色の
65,brush,筆
66,bus,バス
67,but,しかし
68,by,～によって、～で
69,bye,さようなら
70,cake,ケーキ
71,calendar,カレンダー
72,came,来た
73,camera,カメラ
74,can,カン
75,Canberra,キャンベラ
76,cannot,～できない
77,cap,帽子
78,car,自動車
79,careful,注意深い
80,carry,運ぶ
81,case,場合，容器
82,cat,猫
83,catch,捕まえる，
84,CD,CDの
85,chair,いす
86,change,変わる
87,cherry,チェリー
88,cherry blossom,さくら
89,child,子供
90,China,中国
91,class,学級，授業
92,classmate,同級生
93,classroom,教室
94,clean,きれいな
95,clerk,店員
96,climb,登る
97,close,閉じる
98,clothes,服
99,club,クラブ
100,coin,硬貨
101,color,色
102,come,来る
103,computer,コンピュータ
104,cook,料理人
105,country,国，いなか，地方
106,course,進路
107,cousin,いとこ
108,cricket,クリケット
109,cry,泣く
110,culture,文化
111,curry,カレー
112,cute,可愛い
113,dance,おどる
114,daughter,娘
115,day,日
116,dear,親愛なる
117,December,１２月
118,dictionary,辞書
119,did,した
120,dinner,夕食
121,do,する
122,does,する
123,dog,犬
124,dollar,ドル
125,door,ドア
126,down,下に
127,draw,描く，引く
128,drew,描いた
129,drink,飲む
130,drive,運転する
131,drum,ドラム
132,ear,耳
133,easily,かんたんに
134,egg,卵
135,eight,8
136,eighteen,18
137,eighth,8番目の
138,eighty,80
139,elephant,象
140,eleven,11
141,eleventh,11番目の
142,else,そのほかに
143,e-mail (email),電子メール
144,Emma,エマ
145,Emma Simmons,エマ・シモンズ
146,enjoy,楽しむ
147,eraser,消しゴム
148,evening,晩
149,every,毎～
150,everyone,みんな
151,excuse,許す
152,eye,目
153,face,顔
154,fall,秋
155,family,家族
156,far,遠くに，はるかに
157,fast,速い
158,father,父
159,favorite,一番好きな，一番好きなもの
160,February,２月
161,feed,…に食べ物を与える，…を養う
162,feet,フィート
163,fell,倒す
164,festival,祭り
165,field,野原，競技場
166,fifteen,15
167,fifth,5番目の
168,fifty,50
169,fine,すばらしい，
170,fine arts,美術
171,finger,指
172,fire,火
173,first,1番目の
174,five,5
175,flower,花
176,flute,フルート
177,fly,飛行機で行く，飛ぶ
178,follow,…の後を追う
179,food,食べ物
180,foot,足
181,football,フットボール
182,for,～のために
183,forty,40
184,forward,前方へ
185,four,4
186,fourteen,14
187,fourth,4番目の
188,fox,キツネ
189,Friday,金曜日
190,friend,友人
191,from,～から
192,fun,楽しみ
193,get,得る，着く，乗る
194,girl,少女
195,glad,うれしい
196,go,行く
197,goal,得点，ゴール
198,good,良い
199,got,手に入れた
200,grandfather,祖父
201,grandmother,祖母
202,grape,ブドウ
203,gray,灰色
204,great,すばらしい，広大な
205,Green,緑の
206,green,緑の
207,ground,地面
208,group,グループ
209,guitar,ギター
210,gym,体育館
211,hair,髪
212,hamburger,ハンバーガー
213,hand,手
214,hard,いっしょうけんめい
215,has,もっている(三単現)
216,have,持っている
217,hawk,タカ
218,he,彼
219,head,頭，先頭
220,hear,聞く
221,hello,こんにちは
222,help,助ける
223,her,彼女の
224,here,ここに
225,hers,彼女の
226,hi,やあ
227,high,高い
228,him,彼に(を)
229,his,彼の
230,hold,握る，開催する，
231,hole,穴
232,holiday,休日
233,home,家を(へ)
234,homework,宿題
235,hope,希望
236,horse,馬
237,hospital,病院
238,hot,暑い
239,house,家
240,how,どのくらい
241,Humpty Dumpty,ハンプティ・ダンプティ
242,hundred,百
243,hungry,空腹の
244,I,わたし
245,in,～の中
246,India,インド
247,industrial,産業の，工業の
248,"""industrial arts and homemaking""",工作、課程
249,interesting,おもしろい
250,into,～の中へ
251,is,～である、いる
252,it,それ
253,its,その
254,January,１月
255,Japan,日本
256,Japanese,日本語、日本人の
257,Jean,ジェーン
258,John,ジョン
259,join,参加する
260,July,７月
261,jump,跳ぶ
262,June,６月
263,junior,年下の，
264,junior high school,中学校
265,just,ちょうど，ただ単に
266,Kate,ケイト
267,Kevin,ケビン
268,kid,子供／（…を）からかう
269,kilometer,キロメートル
270,kind,親切な
271,kite,凧
272,language,言語
273,language arts,国語
274,lap,ひざ
275,last,最後
276,late,遅れた
277,learn,学ぶ，覚える
278,leave,去る，残す，置いて行く
279,leg,脚
280,let's,～しましょう
281,letter,手紙
282,library,図書館
283,life,生活，生命，人生
284,like,好む
285,like,好む
286,Lisa Smith,リサ・スミス
287,listen,聴く
288,little,小さい，幼い，ちょっとした
289,live,住む，生きる
290,London,ロンドン
291,long,長い
292,look,見る，
293,lose,失う，負ける
294,lot,たくさん
295,luck,運
296,lunch,昼食
297,make,作る，～を～にする
298,man,男の人、人
299,many,多量の
300,March,３月
301,mask,マスク
302,math,数学
303,May,５月
304,me,わたしに(を)
305,meet,会う
306,member,会員
307,met,会った
308,meter,メートル
309,Mike,マイク
310,mine,わたしのもの
311,mom,お母さん
312,Monday,月曜日
313,monkey,サル
314,month,月
315,morning,朝
316,mother,母
317,mountain,山
318,mouth,口
319,move,動く，
320,movie,映画
321,Mr. (Mr),ミスター
322,Mrs. (Mrs),ミセス
323,Ms. (Ms),ミス
324,much,ずっと，たいへん
325,museum,博物館
326,music,音楽
327,music club,音楽クラブ
328,musician,音楽家
329,my,わたしの
330,nature,自然
331,near,近く
332,neck,首
333,new,新しい
334,New Year's Day,元日
335,next,次の，隣の
336,nice,良い
337,night,夜
338,nine,9
339,nineteen,19
340,ninety,90
341,ninth,9番目の
342,no,いいえ
343,noodle,めん
344,noon,正午
345,nose,鼻
346,not,～でない
347,notebook,ノートブック
348,November,１１月
349,now,今
350,number,数
351,o'clock,～時
352,October,１０月
353,of,の
354,off,離れて
355,office,事務所
356,often,しばしば
357,oh,オー（驚き）
358,OK,OK
359,old,年をとった，古い
360,on,～の上
361,one,1
362,only,唯一の
363,open,開ける
364,or,それとも
365,orange,オレンジ
366,other,ほかの
367,our,わたしたちの
368,ours,私たちの
369,out,はずれて
370,owl,フクロウ
371,own,自分の
372,panda,パンダ
373,parent,親
374,park,公園
375,pass,過ぎる，合格する，手渡す
376,Paul,ポール
377,pen,（ボール）ペン
378,pencil,鉛筆
379,people,人々
380,Peter,ピーター
381,piano,ピアノ
382,pick,選ぶ，摘む
383,picture,絵，写真
384,place,場所
385,plastic,プラスチック
386,plastic bag,プラスチック袋
387,play,遊ぶ
388,player,選手，演奏者
389,please,気に入る，喜ばせる
390,pool,プール、水たまり
391,popular,人気のある
392,post,郵便
393,post office,郵便局
394,practice,練習する
395,present,プレゼント
396,problem,問題
397,push,押す
398,put,置く
399,question,質問
400,quickly,すばやく
401,rabbit,ウサギ
402,race,競走，人種
403,ran,走った
404,read,読む
405,ready,用意できている
406,really,本当に
407,red,赤い
408,restaurant,レストラン
409,restroom,トイレ
410,rice,ご飯
411,rice ball,おにぎり
412,rice cake,おもち
413,river,川
414,rock,ロック
415,room,部屋
416,rope,ロープ
417,ruler,定規
418,run,走る
419,sandwich,サンドウィッチ
420,sat,座った
421,Saturday,土曜日
422,saw,見た
423,school,学校
424,schoolyard,校庭
425,science,科学
426,Scotland,スコットランド
427,sea,海
428,season,季節
429,second,2番目の
430,see,見る，わかる，
431,send,送る
432,September,９月
433,seven,7
434,seventeen,17
435,seventh,7番目の
436,seventy,70
437,shape,形／…を形作る
438,she,彼女
439,shoe,靴
440,shop,店
441,short,短い，背が低い
442,shoulder,肩
443,show,ショー
444,shrine,神社
445,Simmons,シモンズ
446,sing,歌う
447,singer,歌手
448,sister,姉妹
449,sit,座る
450,six,6
451,sixteen,16
452,sixth,6番目の
453,sixty,60
454,sky,空
455,small,小さな
456,snack,おやつ
457,so,そんなに
458,soccer,サッカー
459,social,社会の，社交の
460,social studies,社会
461,some,いくつかの
462,something,何か
463,sometimes,時々
464,son,息子
465,song,歌
466,sorry,ごめんなさい、残念な
467,Spanish,スペインの、スペイン語
468,speak,話す
469,special,特別の
470,speech,演説
471,spirit,魂
472,sport,スポーツ
473,sports day,体育祭
474,spring,春
475,sprint,短距離走
476,stairs,階段
477,stand,立つ
478,start,出発する，～を始める
479,stop,止める，
480,story,話
481,street,通り
482,strong,強い，じょうぶな
483,student,学生
484,study,勉強する
485,subject,科目，題目
486,summer,夏
487,Sunday,日曜日
488,swam,泳いだ
489,swim,泳ぐ
490,Sydney,シドニー
491,table,テーブル
492,take,(時間が)かかる，
493,talk,話す
494,taxi,タクシー
495,teach,教える
496,teacher,先生
497,team,チーム
498,teeth,歯(複数)
499,tell,教える，語る
500,ten,10
501,tennis,テニス
502,tenth,10番目の
503,terrible,ひどい，不快な
504,textbook,教科書
505,thank,感謝する
506,that,あの
507,the,その
508,their,彼らの
509,them,彼らに(を)
510,then,それから，そのとき
511,there,そこに
512,these,これらの
513,they,彼ら
514,think,信じる
515,third,3番目の
516,thirsty,喉の乾いた
517,thirteen,13
518,thirteenth,１３番目の
519,thirtieth,３０番目の
520,thirty,30
521,this,この
522,those,あれらの
523,thousand,千
524,three,3
525,throw,投げる
526,Thursday,木曜日
527,tie,ネクタイ
528,time,時，～回
529,tired,疲れて
530,to,～へ
531,today,今日，現在
532,tomorrow,明日
533,too,～もまた，
534,tooth,歯
535,town,街、町
536,track and field,陸上競技
537,train,列車
538,tree,木
539,trip,旅行
540,Tuesday,火曜日
541,tug-of-war,綱引き
542,turtle,かめ
543,TV,テレビ
544,twelfth,１２番目の
545,twelve,12
546,twentieth,２０番目の
547,twenty,20
548,two,2
549,uncle,おじ
550,under,～の下に
551,us,わたしたちに(を)
552,USA,アメリカ合衆国
553,use,使う
554,usually,ふつう
555,very,非常に
556,violin,バイオリン
557,visit,訪問する
558,voice,声
559,volleyball,バレーボール
560,volunteer,ボランティア，志願兵
561,walk,散歩
562,wall,壁
563,want,欲しい
564,wash,洗う
565,watch,腕時計
566,water,水
567,we,わたしたち
568,wear,着る
569,Wednesday,水曜日
570,week,週
571,weekend,週末
572,welcome,ようこそ
573,well,よく，じょうずに
574,went,行った
575,what,何
576,wheel,ホイール
577,wheelchair,車いす
578,when,～するとき
579,where,どこに
580,which,どちら
581,White,白い
582,white,白い
583,White Rabbit,白うさぎ
584,who,誰
585,whose,誰の
586,why,なぜ
587,win,勝つ
588,window,窓
589,winter,冬
590,with,～とともに
591,Wonderland,不思議の国
592,work,仕事，作品
593,write,書く，手紙を書く
594,wrote,書いた
595,Yang,ヤン
596,Yang Meiling,ヤン・メーリン
597,year,年
598,yellow,黄色の
599,yes,はい
600,yesterday,昨日
601,you,あなた
602,your,あなたの
603,yours,あなたのもの
604,zero,ゼロ
605,zoo,動物園